bookID,Title,Author,Genre,stack,Publisher
95,"Theory of Everything, The","Hawking, Stephen",science,217,Jaico
96,New Markets & Other Essays,"Drucker, Peter",economics,176,Penguin
97,Electric Universe,"Bodanis, David",science,201,Penguin
98,"Hunchback of Notre Dame, The","Hugo, Victor",fiction,175,Random House
99,Burning Bright,"Steinbeck, John",fiction,175,Penguin
100,"Age of Discontuinity, The","Drucker, Peter",economics,178,Random House
101,Doctor in the Nude,"Gordon, Richard",fiction,179,Penguin
102,Down and Out in Paris & London,"Orwell, George",nonfiction,179,Penguin
103,Identity & Violence,"Sen, Amartya",philosophy,219,Penguin
104,Beyond the Three Seas,"Dalrymple, William",history,197,Random House
105,"World's Greatest Short Stories, The",,fiction,217,Jaico
106,Talking Straight,"Iacoca, Lee",nonfiction,175,
107,"Maugham's Collected Short Stories, Vol 3","Maugham, William S",fiction,171,Vintage
108,"Phantom of Manhattan, The","Forsyth, Frederick",fiction,180,
109,Ashenden of The British Agent,"Maugham, William S",fiction,160,Vintage
110,Zen & The Art of Motorcycle Maintenance,"Pirsig, Robert",philosophy,172,Vintage
111,"Great War for Civilization, The","Fisk, Robert",history,197,HarperCollins
112,We the Living,"Rand, Ayn",fiction,178,Penguin
113,"Artist and the Mathematician, The","Aczel, Amir",science,186,HighStakes
114,History of Western Philosophy,"Russell, Bertrand",philosophy,213,Routledge
115,Selected Short Stories,,fiction,215,Jaico
116,Rationality & Freedom,"Sen, Amartya",economics,213,Springer
117,Clash of Civilizations and Remaking of the World Order,"Huntington, Samuel",history,228,Simon&Schuster
118,Uncommon Wisdom,"Capra, Fritjof",nonfiction,197,Fontana
119,One,"Bach, Richard",nonfiction,172,Dell
120,Karl Marx Biography,,nonfiction,162,
121,To Sir With Love,Braithwaite,fiction,197,Penguin
122,Half A Life,"Naipaul, V S",fiction,196,
123,"Discovery of India, The","Nehru, Jawaharlal",history,230,
124,Apulki,"Deshpande, P L",nonfiction,211,
125,Unpopular Essays,"Russell, Bertrand",philosophy,198,
126,"Deceiver, The","Forsyth, Frederick",fiction,178,
127,Veil: Secret Wars of the CIA,"Woodward, Bob",history,171,
128,Char Shabda,"Deshpande, P L",nonfiction,214,
129,Rosy is My Relative,"Durrell, Gerald",fiction,176,
130,"Moon and Sixpence, The","Maugham, William S",fiction,180,
131,Political Philosophers,,philosophy,162,
132,"Short History of the World, A","Wells, H G",history,197,
133,"Trembling of a Leaf, The","Maugham, William S",fiction,205,
134,Doctor on the Brain,"Gordon, Richard",fiction,204,
135,Simpsons & Their Mathematical Secrets,"Singh, Simon",science,233,
136,Pattern Classification,"Duda, Hart",data_science,241,
137,From Beirut to Jerusalem,"Friedman, Thomas",history,202,
138,"Code Book, The","Singh, Simon",science,197,
139,"Age of the Warrior, The","Fisk, Robert",history,197,
140,Final Crisis,,comic,257,
141,"Killing Joke, The",,comic,283,
142,Flashpoint,,comic,265,
143,Batman Earth One,,comic,265,
144,Crisis on Infinite Earths,,comic,258,
145,"Numbers Behind Numb3rs, The","Devlin, Keith",science,202,
146,Superman Earth One - 1,,comic,259,
147,Superman Earth One - 2,,comic,258,
148,Justice League: Throne of Atlantis,,comic,258,
149,Justice League: The Villain's Journey,,comic,258,
150,"Death of Superman, The",,comic,258,
151,History of the DC Universe,,comic,258,
152,Batman: The Long Halloween,,comic,258,
153,"Life in Letters, A","Steinbeck, John",nonfiction,196,
154,"Information, The","Gleick, James",science,233,
155,"Journal of Economics, vol 106 No 3",,economics,235,
156,Elements of Information Theory,"Thomas, Joy",data_science,229,
157,Power Electronics - Rashid,"Rashid, Muhammad",computer_science,235,
158,Power Electronics - Mohan,"Mohan, Ned",computer_science,237,
159,Neural Networks,"Haykin, Simon",data_science,240,
160,"Grapes of Wrath, The","Steinbeck, John",fiction,196,
161,Vyakti ani Valli,"Deshpande, P L",nonfiction,211,
162,Statistical Learning Theory,"Vapnik, Vladimir",data_science,228,
163,Empire of the Mughal - The Tainted Throne,"Rutherford, Alex",history,180,
164,Empire of the Mughal - Brothers at War,"Rutherford, Alex",history,180,
165,Empire of the Mughal - Ruler of the World,"Rutherford, Alex",history,180,
166,Empire of the Mughal - The Serpent's Tooth,"Rutherford, Alex",history,180,
167,Empire of the Mughal - Raiders from the North,"Rutherford, Alex",history,180,
168,Mossad,"Baz-Zohar, Michael",history,236,
169,Jim Corbett Omnibus,"Corbett, Jim",nonfiction,223,
170,20000 Leagues Under the Sea,"Verne, Jules",fiction,190,
171,Batatyachi Chal,Deshpande P L,fiction,200,
172,Hafasavnuk,Deshpande P L,fiction,211,
173,Urlasurla,Deshpande P L,fiction,211,
174,Pointers in C,"Kanetkar, Yashwant",computer_science,213,
175,"Cathedral and the Bazaar, The","Raymond, Eric",computer_science,217,
176,Design with OpAmps,"Franco, Sergio",computer_science,240,
177,Think Complexity,"Downey, Allen",data_science,230,
178,"Devil's Advocate, The","West, Morris",fiction,178,
179,Ayn Rand Answers,"Rand, Ayn",philosophy,203,
180,Philosophy: Who Needs It,"Rand, Ayn",philosophy,171,
181,"World's Great Thinkers, The",,philosophy,189,
182,Data Analysis with Open Source Tools,"Janert, Phillip",data_science,230,
183,Broca's Brain,"Sagan, Carl",science,174,
184,Men of Mathematics,"Bell, E T",mathematics,217,
185,Oxford book of Modern Science Writing,"Dawkins, Richard",science,240,
186,"Justice, Judiciary and Democracy","Ranjan, Sudhanshu",philosophy,224,
187,"Arthashastra, The",Kautiyla,philosophy,214,
188,We the People,Palkhivala,philosophy,216,
189,We the Nation,Palkhivala,philosophy,216,
190,"Courtroom Genius, The",Sorabjee,nonfiction,217,
191,Dongri to Dubai,"Zaidi, Hussain",nonfiction,216,
192,"History of England, Foundation","Ackroyd, Peter",history,197,
193,City of Djinns,"Dalrymple, William",history,198,
194,India's Legal System,Nariman,nonfiction,177,
195,More Tears to Cry,"Sassoon, Jean",fiction,235,
196,"Ropemaker, The","Dickinson, Peter",fiction,196,
197,Angels & Demons,"Brown, Dan",fiction,170,
198,"Judge, The",,fiction,170,
199,"Attorney, The",,fiction,170,
200,"Prince, The",Machiavelli,philosophy,173,
201,Eyeless in Gaza,"Huxley, Aldous",fiction,180,
202,Tales of Beedle the Bard,"Rowling, J K",fiction,184,
203,Girl with the Dragon Tattoo,"Larsson, Steig",fiction,179,
204,Girl who kicked the Hornet's Nest,"Larsson, Steig",fiction,179,
205,Girl who played with Fire,"Larsson, Steig",fiction,179,
206,Batman Handbook,,comic,270,
207,Murphy's Law,,nonfiction,178,
208,Structure and Randomness,"Tao, Terence",mathematics,252,
209,Image Processing with MATLAB,"Eddins, Steve",signal_processing,241,
210,Animal Farm,"Orwell, George",fiction,180,
211,"Idiot, The","Dostoevsky, Fyodor",fiction,197,
212,"Christmas Carol, A","Dickens, Charles",fiction,196,
